id,first_name,middle_name,last_name,gender,date_of_birth,initials,employer_id
BM1,Bat,NULL,Man,M,15/06/1980,BM,DAK1
BS1,Bart,NULL,Simpson,M,25/12/1996,BS,DAK1
CE1,Clint,NULL,Eastwood,M,22/03/1950,CE,DAK1
HS1,Homer,NULL,Simpson,M,01/04/1980,HS,DAK1
LS1,Lisa,NULL,Simpson,F,12/06/1995,LS,DAK1
MAS1,Maggie,NULL,Simpson,F,06/05/2005,MAS,DAK1
MS1,Marge,NULL,Simpson,F,12/05/1985,MS,DAK1
QE2,Queen Liz,NULL,The II,F,27/09/1920,QE,DAK1
SW1,Stevie,NULL,Wonder,M,01/01/1970,SW,DAK1
TR1,The,NULL,Rock,M,01/01/1980,TR,DAK1
